Code,Min,Q1,Median,Q3,Max,TotJobs,TotCU,PercentCU
Overall,1.0,256.0,1024.0,3200.0,32768.0,313360,310290.4,100.0
VASP,8.0,576.0,1280.0,3072.0,8192.0,30988,59260.6,19.1
CASTEP,1.0,128.0,128.0,512.0,6400.0,41515,43198.2,13.9
NAMD,1.0,640.0,640.0,640.0,32768.0,12302,36758.2,11.8
PDNS3D,2560.0,3200.0,3200.0,3840.0,3840.0,49,25426.6,8.2
Unidentified,1.0,384.0,1024.0,6400.0,23616.0,138526,21222.3,6.8
EPOCH,128.0,5120.0,12800.0,12800.0,12800.0,86,20627.6,6.6
Gromacs,1.0,512.0,1536.0,1536.0,1536.0,6642,13166.1,4.2
LAMMPS,1.0,512.0,1280.0,6400.0,6400.0,1057,12767.7,4.1
OSIRIS,192.0,4608.0,4608.0,8192.0,8192.0,34,8228.6,2.7
FHI aims,8.0,16.0,16.0,128.0,4096.0,3213,7552.1,2.4
NEMO,1.0,512.0,1302.0,1302.0,4320.0,7172,7161.0,2.3
cp2k,2.0,121.0,121.0,512.0,2048.0,3810,7064.7,2.3
SDPB,128.0,384.0,512.0,512.0,512.0,6424,5878.4,1.9
HANDE,1.0,1.0,4.0,4.0,4.0,61,5488.2,1.8
RMT,32.0,640.0,1408.0,1792.0,1920.0,705,5452.8,1.8
Code_Saturne,64.0,2048.0,2048.0,2048.0,2048.0,61,5069.8,1.6
Smilei,80.0,128.0,128.0,128.0,512.0,49266,4980.6,1.6
Quantum Espresso,1.0,192.0,1024.0,1024.0,2304.0,2216,3198.8,1.0
CESM,16.0,48.0,48.0,48.0,72.0,78,2596.1,0.8
GS2,16.0,4096.0,4096.0,4096.0,4096.0,97,2296.9,0.7
Met Office UM,108.0,6192.0,6192.0,6272.0,6272.0,313,2293.9,0.7
AxiSEM3D,256.0,1280.0,1280.0,1536.0,3072.0,67,2292.3,0.7
MITgcm,1.0,128.0,128.0,128.0,400.0,169,2056.2,0.7
OpenFOAM,128.0,288.0,512.0,640.0,1024.0,72,2044.6,0.7
HYDRA,1.0,512.0,2048.0,4096.0,8192.0,1034,758.8,0.2
Amber,128.0,128.0,128.0,128.0,256.0,264,696.9,0.2
Nektar++,32.0,1280.0,2048.0,2048.0,4096.0,31,658.6,0.2
Python,1.0,192.0,4096.0,7744.0,30976.0,5326,455.5,0.1
NWChem,32.0,256.0,256.0,256.0,2048.0,643,442.6,0.1
WRF,72.0,196.0,196.0,196.0,256.0,16,386.3,0.1
CRYSTAL,4.0,512.0,512.0,512.0,1024.0,91,316.7,0.1
PRECISE,32.0,512.0,2048.0,4096.0,4096.0,209,293.9,0.1
GPAW,1.0,384.0,384.0,384.0,512.0,83,141.0,0.0
ChemShell,1.0,16.0,30.0,100.0,1024.0,87,30.4,0.0
ONETEP,1.0,4.0,4.0,4.0,4.0,298,6.9,0.0
TPLS,128.0,128.0,128.0,128.0,128.0,159,6.3,0.0
USCNS3D,8.0,8.0,8.0,40.0,40.0,5,4.5,0.0
ECHAM,256.0,256.0,256.0,256.0,256.0,1,3.8,0.0
DL_POLY,1.0,8.0,1024.0,4096.0,4096.0,158,2.6,0.0
ABINIT,2.0,56.0,56.0,56.0,56.0,3,1.2,0.0
SENGA,1000.0,1000.0,1000.0,1000.0,1000.0,7,0.9,0.0
HemeLB,256.0,256.0,256.0,256.0,256.0,1,0.6,0.0
CloverLeaf,16.0,16.0,32.0,256.0,256.0,11,0.4,0.0
FVCOM,1.0,2.0,2.0,2.0,2.0,10,0.1,0.0
